geotype,geoid,geoname,gwvoteimp,priority
county,4023,"Santa Cruz County, Arizona",52.52,56.34
county,4025,"Yavapai County, Arizona",52.76,44.69
county,4027,"Yuma County, Arizona",51.35,51.17
county,5001,"Arkansas County, Arkansas",53.09,48.48
county,5003,"Ashley County, Arkansas",44.60,44.09
county,5005,"Baxter County, Arkansas",49.89,42.22
county,5007,"Benton County, Arkansas",57.47,52.03
county,5009,"Boone County, Arkansas",46.81,41.25
county,5011,"Bradley County, Arkansas",47.32,46.14
county,5013,"Calhoun County, Arkansas",46.85,41.90
county,5015,"Carroll County, Arkansas",51.50,47.98
county,5017,"Chicot County, Arkansas",52.73,53.67
county,5019,"Clark County, Arkansas",53.11,49.77
county,5021,"Clay County, Arkansas",45.94,38.60
county,5023,"Cleburne County, Arkansas",44.35,38.24
county,5025,"Cleveland County, Arkansas",43.67,38.79
county,5027,"Columbia County, Arkansas",49.80,47.18
county,5029,"Conway County, Arkansas",53.32,48.22
county,5031,"Craighead County, Arkansas",48.97,45.58
county,5033,"Crawford County, Arkansas",44.62,41.02
county,5035,"Crittenden County, Arkansas",56.30,53.18
county,5037,"Cross County, Arkansas",51.93,45.87
county,5039,"Dallas County, Arkansas",54.80,52.79
county,5041,"Desha County, Arkansas",49.61,50.65
county,5043,"Drew County, Arkansas",48.56,46.93
county,5045,"Faulkner County, Arkansas",49.01,48.06
county,5047,"Franklin County, Arkansas",42.09,37.56
county,5049,"Fulton County, Arkansas",47.68,41.20
county,5051,"Garland County, Arkansas",52.49,46.88
county,5053,"Grant County, Arkansas",46.68,38.41
county,5055,"Greene County, Arkansas",48.66,44.08
county,5057,"Hempstead County, Arkansas",51.60,48.35
county,5059,"Hot Spring County, Arkansas",53.10,43.87
county,5061,"Howard County, Arkansas",49.06,46.17
county,5063,"Independence County, Arkansas",57.59,35.11
county,5065,"Izard County, Arkansas",47.84,41.36
county,5067,"Jackson County, Arkansas",47.68,42.14
county,5069,"Jefferson County, Arkansas",56.55,51.80
county,5071,"Johnson County, Arkansas",46.66,42.41
county,5073,"Lafayette County, Arkansas",49.77,47.81
county,5075,"Lawrence County, Arkansas",45.77,39.18
county,5077,"Lee County, Arkansas",55.05,55.07
county,5079,"Lincoln County, Arkansas",51.58,48.06
county,5081,"Little River County, Arkansas",45.30,41.73
county,5083,"Logan County, Arkansas",47.00,40.37
county,5085,"Lonoke County, Arkansas",45.04,40.03
county,5087,"Madison County, Arkansas",52.54,46.04
county,5089,"Marion County, Arkansas",47.69,39.80
county,5091,"Miller County, Arkansas",51.29,47.87
county,5093,"Mississippi County, Arkansas",55.60,52.11
county,5095,"Monroe County, Arkansas",49.16,48.97
county,5097,"Montgomery County, Arkansas",50.81,43.24
county,5099,"Nevada County, Arkansas",48.06,46.00
county,5101,"Newton County, Arkansas",47.31,41.65
county,5103,"Ouachita County, Arkansas",50.42,49.11
county,5105,"Perry County, Arkansas",48.08,41.97
county,5107,"Phillips County, Arkansas",54.60,56.44
county,5109,"Pike County, Arkansas",48.49,41.42
county,5111,"Poinsett County, Arkansas",44.53,38.99
county,5113,"Polk County, Arkansas",47.53,41.14
county,5115,"Pope County, Arkansas",47.52,43.17
county,5117,"Prairie County, Arkansas",47.73,42.00
county,5119,"Pulaski County, Arkansas",57.18,57.37
county,5121,"Randolph County, Arkansas",43.99,39.57
county,5123,"St. Francis County, Arkansas",52.09,51.69
county,5125,"Saline County, Arkansas",45.54,43.35
county,5127,"Scott County, Arkansas",45.14,39.62
county,5129,"Searcy County, Arkansas",45.03,40.45
county,5131,"Sebastian County, Arkansas",49.89,49.19
county,5133,"Sevier County, Arkansas",53.67,49.61
county,5135,"Sharp County, Arkansas",51.12,44.32
county,5137,"Stone County, Arkansas",45.92,40.79
county,5139,"Union County, Arkansas",49.23,45.27
county,5141,"Van Buren County, Arkansas",50.37,44.23
county,5143,"Washington County, Arkansas",54.02,50.76
county,5145,"White County, Arkansas",43.60,39.65
county,5147,"Woodruff County, Arkansas",46.18,43.78
county,5149,"Yell County, Arkansas",47.50,43.54
county,6001,"Alameda County, California",73.48,74.82
county,6003,"Alpine County, California",60.11,60.20
county,6005,"Amador County, California",54.21,53.83
county,6007,"Butte County, California",57.78,55.34
county,6009,"Calaveras County, California",52.86,52.30
county,6011,"Colusa County, California",52.75,55.36
county,6013,"Contra Costa County, California",60.49,68.72
county,6015,"Del Norte County, California",54.52,54.09
county,6017,"El Dorado County, California",59.44,55.70
county,6019,"Fresno County, California",56.60,59.85
county,6021,"Glenn County, California",51.34,51.61
county,6023,"Humboldt County, California",62.57,61.90
county,6025,"Imperial County, California",58.28,63.40
county,6027,"Inyo County, California",57.87,58.09
county,6029,"Kern County, California",58.31,53.55
county,6031,"Kings County, California",52.26,52.67
county,6033,"Lake County, California",55.88,58.37
county,6035,"Lassen County, California",49.31,49.10
county,6037,"Los Angeles County, California",62.33,66.63
county,6039,"Madera County, California",56.87,60.57
county,6041,"Marin County, California",63.85,66.48
county,6043,"Mariposa County, California",56.90,55.18
county,6045,"Mendocino County, California",54.77,56.33
county,6047,"Merced County, California",56.26,61.69
county,6049,"Modoc County, California",53.24,51.66
county,6051,"Mono County, California",58.83,60.01
county,6053,"Monterey County, California",61.60,67.36
county,6055,"Napa County, California",61.27,65.08
county,6057,"Nevada County, California",58.81,59.95
county,6059,"Orange County, California",56.96,56.96
county,6061,"Placer County, California",53.77,55.79
county,6063,"Plumas County, California",57.02,54.79
county,6065,"Riverside County, California",58.96,60.41
county,6067,"Sacramento County, California",57.56,59.94
county,6069,"San Benito County, California",59.27,64.06
county,6071,"San Bernardino County, California",61.62,64.19
county,6073,"San Diego County, California",63.87,60.93
county,6075,"San Francisco County, California",69.26,75.50
county,6077,"San Joaquin County, California",55.91,58.19
county,6079,"San Luis Obispo County, California",61.60,59.06
county,6081,"San Mateo County, California",70.71,72.50
county,6083,"Santa Barbara County, California",63.23,63.30
county,6085,"Santa Clara County, California",56.76,70.06
county,6087,"Santa Cruz County, California",63.11,70.19
county,6089,"Shasta County, California",51.51,46.09
county,6091,"Sierra County, California",48.42,46.91
county,6093,"Siskiyou County, California",55.56,56.20
county,6095,"Solano County, California",57.70,58.85
county,6097,"Sonoma County, California",61.91,67.47
county,6099,"Stanislaus County, California",57.55,60.47
county,6101,"Sutter County, California",53.37,54.81
county,6103,"Tehama County, California",52.66,50.66
county,6105,"Trinity County, California",53.75,51.70
county,6107,"Tulare County, California",57.63,55.77
county,6109,"Tuolumne County, California",52.32,50.56
county,6111,"Ventura County, California",56.20,61.38
county,6113,"Yolo County, California",60.34,66.90
county,6115,"Yuba County, California",52.55,50.34
county,8001,"Adams County, Colorado",59.03,57.80
county,8003,"Alamosa County, Colorado",49.14,50.11
county,8005,"Arapahoe County, Colorado",57.07,54.17
county,8007,"Archuleta County, Colorado",53.54,51.39
county,8009,"Baca County, Colorado",44.55,39.22
county,8011,"Bent County, Colorado",45.54,44.33
county,8013,"Boulder County, Colorado",60.85,60.70
county,8014,"Broomfield County, Colorado",58.71,59.67
county,8015,"Chaffee County, Colorado",53.82,53.56
county,8017,"Cheyenne County, Colorado",44.53,38.77
county,8019,"Clear Creek County, Colorado",62.89,59.93
county,8021,"Conejos County, Colorado",60.17,59.94
county,8023,"Costilla County, Colorado",59.81,61.85
county,8025,"Crowley County, Colorado",46.25,45.05
county,8027,"Custer County, Colorado",51.40,48.14
county,8029,"Delta County, Colorado",48.61,44.35
county,8031,"Denver County, Colorado",65.20,69.51
county,8033,"Dolores County, Colorado",47.35,42.80
county,8035,"Douglas County, Colorado",56.89,55.71
county,8037,"Eagle County, Colorado",58.68,58.72
county,8039,"Elbert County, Colorado",54.34,48.18
county,8041,"El Paso County, Colorado",54.71,49.83
county,8043,"Fremont County, Colorado",47.92,44.40
county,8045,"Garfield County, Colorado",55.49,54.76
county,8047,"Gilpin County, Colorado",58.20,55.45
county,8049,"Grand County, Colorado",53.66,51.44
county,8051,"Gunnison County, Colorado",57.61,54.98
county,8053,"Hinsdale County, Colorado",54.18,51.72
county,8055,"Huerfano County, Colorado",56.24,55.07
county,8057,"Jackson County, Colorado",50.51,44.12
county,8059,"Jefferson County, Colorado",51.86,54.51
county,8061,"Kiowa County, Colorado",42.72,36.74
county,8063,"Kit Carson County, Colorado",43.31,38.77
county,8065,"Lake County, Colorado",61.84,59.75
county,8067,"La Plata County, Colorado",59.87,56.56
county,8069,"Larimer County, Colorado",58.76,53.03
county,8071,"Las Animas County, Colorado",54.08,52.58
county,8073,"Lincoln County, Colorado",48.68,43.69
county,8075,"Logan County, Colorado",45.04,40.63
county,8077,"Mesa County, Colorado",49.77,45.96
county,8079,"Mineral County, Colorado",59.91,56.05
county,8081,"Moffat County, Colorado",54.77,34.19
county,8083,"Montezuma County, Colorado",48.96,47.24
county,8085,"Montrose County, Colorado",46.08,44.80
county,8087,"Morgan County, Colorado",53.06,45.02
county,8089,"Otero County, Colorado",51.34,49.22
county,8091,"Ouray County, Colorado",60.58,57.48
county,8093,"Park County, Colorado",50.53,47.62
county,8095,"Phillips County, Colorado",44.98,41.22
county,8097,"Pitkin County, Colorado",58.05,56.41
county,8099,"Prowers County, Colorado",43.05,40.67
county,8101,"Pueblo County, Colorado",54.47,51.06
county,8103,"Rio Blanco County, Colorado",44.20,38.53
county,8105,"Rio Grande County, Colorado",50.29,50.23
county,8107,"Routt County, Colorado",59.07,48.70
county,8109,"Saguache County, Colorado",55.43,54.84
county,8111,"San Juan County, Colorado",62.21,59.04
county,8113,"San Miguel County, Colorado",55.35,54.46
county,8115,"Sedgwick County, Colorado",48.48,43.64
county,8117,"Summit County, Colorado",56.01,54.70
county,8119,"Teller County, Colorado",46.17,42.33
county,8121,"Washington County, Colorado",49.54,42.55
county,8123,"Weld County, Colorado",51.07,46.69
county,8125,"Yuma County, Colorado",45.85,40.55
county,9110,"Capitol Planning Region, Connecticut",52.87,61.31
county,9120,"Greater Bridgeport Planning Region, Connecticut",59.68,60.93
county,9130,"Lower Connecticut River Valley Planning Region, Connecticut",56.86,56.17
county,9140,"Naugatuck Valley Planning Region, Connecticut",53.45,55.88
county,9150,"Northeastern Connecticut Planning Region, Connecticut",47.20,49.06
county,9160,"Northwest Hills Planning Region, Connecticut",54.80,54.03
county,9170,"South Central Connecticut Planning Region, Connecticut",62.32,59.26
county,9180,"Southeastern Connecticut Planning Region, Connecticut",51.24,54.57
county,9190,"Western Connecticut Planning Region, Connecticut",63.40,67.67
county,10001,"Kent County, Delaware",53.07,53.57
county,10003,"New Castle County, Delaware",57.23,61.92
county,10005,"Sussex County, Delaware",55.34,55.80
county,11001,"District of Columbia, District of Columbia",71.01,72.41
county,12001,"Alachua County, Florida",61.33,56.72
county,12003,"Baker County, Florida",44.57,41.11
county,12005,"Bay County, Florida",47.65,46.37
county,12007,"Bradford County, Florida",52.48,48.68
county,12009,"Brevard County, Florida",57.14,55.61
county,12011,"Broward County, Florida",60.60,66.45
county,12013,"Calhoun County, Florida",43.03,40.99
county,12015,"Charlotte County, Florida",51.99,48.99
county,12017,"Citrus County, Florida",52.25,48.38
county,12019,"Clay County, Florida",51.52,50.99
county,12021,"Collier County, Florida",52.94,46.51
county,12023,"Columbia County, Florida",49.94,45.17
county,12027,"Desoto County, Florida",52.02,49.71
county,12029,"Dixie County, Florida",44.76,42.02
county,12031,"Duval County, Florida",60.67,53.60
county,12033,"Escambia County, Florida",54.46,53.76
county,12035,"Flagler County, Florida",56.93,53.67
county,12037,"Franklin County, Florida",47.78,46.14
county,12039,"Gadsden County, Florida",59.24,63.23
county,12041,"Gilchrist County, Florida",48.95,43.48
county,12043,"Glades County, Florida",50.70,48.69
county,12045,"Gulf County, Florida",48.55,46.04
county,12047,"Hamilton County, Florida",51.26,50.25
county,12049,"Hardee County, Florida",51.86,48.41
county,12051,"Hendry County, Florida",60.67,59.16
county,12053,"Hernando County, Florida",46.54,47.26
county,12055,"Highlands County, Florida",48.14,49.73
county,12057,"Hillsborough County, Florida",66.46,59.08
county,12059,"Holmes County, Florida",40.27,36.74
county,12061,"Indian River County, Florida",49.10,49.01
county,12063,"Jackson County, Florida",46.96,45.57
county,12065,"Jefferson County, Florida",48.88,51.28
county,12067,"Lafayette County, Florida",41.10,38.96
county,12069,"Lake County, Florida",52.08,52.01
county,12071,"Lee County, Florida",53.24,51.49
county,12073,"Leon County, Florida",58.47,60.75
county,12075,"Levy County, Florida",49.04,45.36
county,12077,"Liberty County, Florida",46.38,44.37
county,12079,"Madison County, Florida",47.96,50.02
county,12081,"Manatee County, Florida",58.28,53.24
county,12083,"Marion County, Florida",47.40,50.34
county,12085,"Martin County, Florida",51.82,47.78
county,12086,"Miami-Dade County, Florida",57.92,63.43
county,12087,"Monroe County, Florida",59.46,60.95
county,12089,"Nassau County, Florida",50.37,46.31
county,12091,"Okaloosa County, Florida",52.25,49.39
county,12093,"Okeechobee County, Florida",49.81,45.42
county,12095,"Orange County, Florida",54.86,56.99
county,12097,"Osceola County, Florida",58.67,59.63
county,12099,"Palm Beach County, Florida",53.50,59.58
county,12101,"Pasco County, Florida",55.78,52.95
county,12103,"Pinellas County, Florida",56.99,58.34
county,12105,"Polk County, Florida",51.43,53.39
county,12107,"Putnam County, Florida",53.69,43.86
county,12109,"St. Johns County, Florida",50.68,46.78
county,12111,"St. Lucie County, Florida",55.22,54.74
county,12113,"Santa Rosa County, Florida",51.97,47.87
county,12115,"Sarasota County, Florida",58.14,50.77
county,12117,"Seminole County, Florida",56.19,48.74
county,12119,"Sumter County, Florida",52.86,51.92
county,12121,"Suwannee County, Florida",43.93,42.76
county,12123,"Taylor County, Florida",50.13,47.05
county,12125,"Union County, Florida",48.27,44.09
county,12127,"Volusia County, Florida",50.98,53.63
county,12129,"Wakulla County, Florida",48.45,46.05
county,12131,"Walton County, Florida",51.75,48.15
county,12133,"Washington County, Florida",42.95,40.49
county,13001,"Appling County, Georgia",47.54,43.59
county,13003,"Atkinson County, Georgia",46.79,44.90
county,13005,"Bacon County, Georgia",44.71,40.89
county,13007,"Baker County, Georgia",44.96,45.40
county,13009,"Baldwin County, Georgia",51.78,46.83
county,13011,"Banks County, Georgia",44.74,38.75
county,13013,"Barrow County, Georgia",49.68,48.25
county,13015,"Bartow County, Georgia",54.00,40.72
county,13017,"Ben Hill County, Georgia",47.61,45.88
county,13019,"Berrien County, Georgia",41.58,37.98
county,13021,"Bibb County, Georgia",53.39,54.04
county,13023,"Bleckley County, Georgia",43.95,41.15
county,13025,"Brantley County, Georgia",41.58,35.94
county,13027,"Brooks County, Georgia",47.66,46.35
county,13029,"Bryan County, Georgia",50.52,45.75
county,13031,"Bulloch County, Georgia",51.47,49.44
county,13033,"Burke County, Georgia",50.79,51.05
county,13035,"Butts County, Georgia",46.99,44.50
county,13037,"Calhoun County, Georgia",52.15,56.68
county,13039,"Camden County, Georgia",48.15,42.85
county,13043,"Candler County, Georgia",44.99,42.81
county,13045,"Carroll County, Georgia",53.40,46.04
county,13047,"Catoosa County, Georgia",44.20,37.58
county,13049,"Charlton County, Georgia",40.45,38.85
county,13051,"Chatham County, Georgia",57.00,56.03
county,13053,"Chattahoochee County, Georgia",52.88,45.92
county,13055,"Chattooga County, Georgia",42.54,38.63
county,13057,"Cherokee County, Georgia",52.16,48.41
county,13059,"Clarke County, Georgia",59.59,58.45
county,13061,"Clay County, Georgia",53.48,56.63
county,13063,"Clayton County, Georgia",63.90,65.75
county,13065,"Clinch County, Georgia",46.67,43.93
county,13067,"Cobb County, Georgia",61.66,57.65
county,13069,"Coffee County, Georgia",46.53,44.72
county,13071,"Colquitt County, Georgia",47.05,45.52
county,13073,"Columbia County, Georgia",49.83,43.51
county,13075,"Cook County, Georgia",46.74,43.83
county,13077,"Coweta County, Georgia",48.40,45.13
county,13079,"Crawford County, Georgia",44.52,42.70
county,13081,"Crisp County, Georgia",47.33,47.50
county,13083,"Dade County, Georgia",42.30,36.47
county,13085,"Dawson County, Georgia",46.30,40.62
county,13087,"Decatur County, Georgia",48.33,48.08
county,13089,"Dekalb County, Georgia",66.24,69.73
county,13091,"Dodge County, Georgia",45.72,43.13
county,13093,"Dooly County, Georgia",48.30,49.23
county,13095,"Dougherty County, Georgia",54.16,57.10
county,13097,"Douglas County, Georgia",59.55,58.37
county,13099,"Early County, Georgia",50.99,52.14
county,13101,"Echols County, Georgia",43.83,40.35
county,13103,"Effingham County, Georgia",48.14,41.27
county,13105,"Elbert County, Georgia",46.77,44.78
county,13107,"Emanuel County, Georgia",50.03,47.79
county,13109,"Evans County, Georgia",47.92,46.10
county,13111,"Fannin County, Georgia",49.83,41.95
county,13113,"Fayette County, Georgia",53.70,52.94
county,13115,"Floyd County, Georgia",50.61,43.19
county,13117,"Forsyth County, Georgia",53.33,49.16
county,13119,"Franklin County, Georgia",51.24,43.35
county,13121,"Fulton County, Georgia",61.83,63.28
county,13123,"Gilmer County, Georgia",50.74,44.90
county,13125,"Glascock County, Georgia",41.71,35.96
county,13127,"Glynn County, Georgia",51.38,49.16
county,13129,"Gordon County, Georgia",43.77,39.59
county,13131,"Grady County, Georgia",48.24,46.79
county,13133,"Greene County, Georgia",50.62,48.89
county,13135,"Gwinnett County, Georgia",60.34,56.87
county,13137,"Habersham County, Georgia",45.22,40.11
county,13139,"Hall County, Georgia",54.65,48.63
county,13141,"Hancock County, Georgia",53.22,52.67
county,13143,"Haralson County, Georgia",44.18,37.61
county,13145,"Harris County, Georgia",47.98,40.99
county,13147,"Hart County, Georgia",47.86,43.77
county,13149,"Heard County, Georgia",56.07,33.33
county,13151,"Henry County, Georgia",53.80,57.50
county,13153,"Houston County, Georgia",52.06,50.88
county,13155,"Irwin County, Georgia",43.87,41.68
county,13157,"Jackson County, Georgia",52.40,44.97
county,13159,"Jasper County, Georgia",49.26,42.55
county,13161,"Jeff Davis County, Georgia",42.59,39.32
county,13163,"Jefferson County, Georgia",52.28,54.17
county,13165,"Jenkins County, Georgia",48.59,48.14
county,13167,"Johnson County, Georgia",47.63,46.94
county,13169,"Jones County, Georgia",47.70,44.28
county,13171,"Lamar County, Georgia",47.34,44.49
county,13173,"Lanier County, Georgia",46.90,43.83
county,13175,"Laurens County, Georgia",45.80,44.52
county,13177,"Lee County, Georgia",45.96,44.55
county,13179,"Liberty County, Georgia",50.48,51.22
county,13181,"Lincoln County, Georgia",47.56,45.51
county,13183,"Long County, Georgia",54.28,52.17
county,13185,"Lowndes County, Georgia",52.02,51.47
county,13187,"Lumpkin County, Georgia",45.45,39.85
county,13189,"McDuffie County, Georgia",49.21,48.64
county,13191,"McIntosh County, Georgia",48.72,49.05
county,13193,"Macon County, Georgia",57.95,61.07
county,13195,"Madison County, Georgia",45.53,41.80
county,13197,"Marion County, Georgia",53.84,52.48
county,13199,"Meriwether County, Georgia",47.23,47.17
county,13201,"Miller County, Georgia",42.97,40.87
county,13205,"Mitchell County, Georgia",48.27,47.93
county,13207,"Monroe County, Georgia",55.71,36.52
county,13209,"Montgomery County, Georgia",45.09,42.22
county,13211,"Morgan County, Georgia",45.97,42.77
county,13213,"Murray County, Georgia",41.12,38.44
county,13215,"Muscogee County, Georgia",52.55,59.26
county,13217,"Newton County, Georgia",54.13,54.95
county,13219,"Oconee County, Georgia",53.20,48.74
county,13221,"Oglethorpe County, Georgia",47.86,45.17
county,13223,"Paulding County, Georgia",49.47,46.36
county,13225,"Peach County, Georgia",54.52,53.55
county,13227,"Pickens County, Georgia",48.09,41.71
county,13229,"Pierce County, Georgia",41.16,35.77
county,13231,"Pike County, Georgia",41.47,36.36
county,13233,"Polk County, Georgia",51.52,41.96
county,13235,"Pulaski County, Georgia",42.77,42.55
county,13237,"Putnam County, Georgia",47.24,44.58
county,13239,"Quitman County, Georgia",51.71,51.89
county,13241,"Rabun County, Georgia",54.91,47.37
county,13243,"Randolph County, Georgia",54.16,57.91
county,13245,"Richmond County, Georgia",58.13,58.36
county,13247,"Rockdale County, Georgia",55.57,58.82
county,13249,"Schley County, Georgia",43.77,40.50
county,13251,"Screven County, Georgia",51.15,50.13
county,13253,"Seminole County, Georgia",45.27,44.24
county,13255,"Spalding County, Georgia",47.09,47.37
county,13257,"Stephens County, Georgia",49.74,42.43
county,13259,"Stewart County, Georgia",55.28,59.08
county,13261,"Sumter County, Georgia",51.57,54.02
county,13263,"Talbot County, Georgia",56.81,60.04
county,13265,"Taliaferro County, Georgia",51.69,56.17
county,13267,"Tattnall County, Georgia",49.63,48.28
county,13269,"Taylor County, Georgia",46.81,47.54
county,13271,"Telfair County, Georgia",43.58,44.77
county,13273,"Terrell County, Georgia",54.38,55.26
county,13275,"Thomas County, Georgia",47.59,49.05
county,13277,"Tift County, Georgia",47.66,45.17
county,13279,"Toombs County, Georgia",51.17,47.72
county,13281,"Towns County, Georgia",48.26,40.71
county,13283,"Treutlen County, Georgia",44.24,42.86
county,13285,"Troup County, Georgia",48.08,47.17
county,13287,"Turner County, Georgia",49.25,48.51
county,13289,"Twiggs County, Georgia",48.72,47.81
county,13291,"Union County, Georgia",47.71,40.45
county,13293,"Upson County, Georgia",47.92,45.43
county,13295,"Walker County, Georgia",45.03,39.50
county,13297,"Walton County, Georgia",50.01,43.59
county,13299,"Ware County, Georgia",45.63,46.03
county,13301,"Warren County, Georgia",48.67,51.52
county,13303,"Washington County, Georgia",50.22,52.37
county,13305,"Wayne County, Georgia",51.89,47.67
county,13307,"Webster County, Georgia",48.26,51.26
county,13309,"Wheeler County, Georgia",42.80,42.77
county,13311,"White County, Georgia",43.34,38.38
county,13313,"Whitfield County, Georgia",50.68,48.10
county,13315,"Wilcox County, Georgia",44.76,42.82
county,13317,"Wilkes County, Georgia",45.90,47.20
county,13319,"Wilkinson County, Georgia",53.74,52.25
county,13321,"Worth County, Georgia",43.89,41.07
county,15001,"Hawaii County, Hawaii",63.34,66.60
county,15003,"Honolulu County, Hawaii",60.10,70.79
county,15005,"Kalawao County, Hawaii",59.55,60.40
county,15007,"Kauai County, Hawaii",62.25,63.68
county,15009,"Maui County, Hawaii",58.42,64.51
